Flight_ID,Airline,Source_Airport,Destination_Airport,Departure_Time,Departure_Period,Arrival_Time,Arrival_Period,Duration,Distance_km,Aircraft_Type,Ticket_Price_PKR,Delay_Minutes,Status,Airline_Frequency
FL361,SereneAir,KHI,ISB,2025-10-02 08:43,Morning,2025-10-02 10:52,Morning,1h 12m,561,Airbus A320,19106,60,Delayed,244
PI897,SereneAir,LHE,MUX,2025-10-23 04:57,Night,2025-10-23 08:14,Morning,4h 58m,742,Boeing 737,27470,120,Cancelled,244
SE557,FlyJinnah,UET,ISB,2025-10-19 10:18,Morning,2025-10-19 11:19,Morning,2h 7m,800,Boeing 737,49653,5,On-Time,257
AI708,AirSial,MUX,LHE,2025-10-17 12:40,Afternoon,2025-10-17 16:04,Afternoon,2h 24m,770,ATR 72,18457,30,Delayed,280
AI742,FlyJinnah,SKZ,UET,2025-10-17 17:36,Evening,2025-10-17 20:00,Evening,3h 48m,1471,ATR 72,13034,120,Cancelled,257
AI413,FlyJinnah,MUX,LHE,2025-10-17 11:15,Morning,2025-10-17 13:58,Afternoon,3h 54m,412,ATR 72,15389,30,On-Time,257
FL504,FlyJinnah,PEW,LHE,2025-10-22 10:41,Morning,2025-10-22 11:59,Morning,3h 27m,1262,ATR 72,25700,15,Cancelled,257
SE814,AirBlue,KHI,UET,2025-10-28 17:12,Evening,2025-10-28 20:55,Evening,4h 49m,803,ATR 72,14746,5,On-Time,290
AI856,FlyJinnah,SKZ,ISB,2025-10-07 15:47,Afternoon,2025-10-07 20:12,Evening,4h 9m,394,Airbus A321,36338,120,Cancelled,257
FL163,AirSial,LYP,PEW,2025-10-29 14:06,Afternoon,2025-10-29 17:53,Evening,1h 59m,1155,Boeing 737,49954,60,Cancelled,280
AI976,SereneAir,SKZ,UET,2025-10-21 21:00,Night,2025-10-22 00:20,Night,2h 21m,676,Airbus A320,10539,30,Cancelled,244
FL259,AirSial,KHI,ISB,2025-10-24 16:14,Afternoon,2025-10-24 20:31,Evening,4h 25m,400,ATR 72,34217,60,Delayed,280
FL370,AirSial,SKZ,KHI,2025-10-21 17:05,Evening,2025-10-21 21:02,Night,4h 19m,1126,Boeing 737,11731,0,Cancelled,280
PI277,PIA,SKZ,UET,2025-10-29 22:04,Night,2025-10-30 02:31,Night,2h 25m,1364,Airbus A320,13158,15,On-Time,240
SE672,AirSial,SKZ,UET,2025-10-15 00:25,Night,2025-10-15 04:08,Night,4h 24m,414,Airbus A320,32266,30,On-Time,280
PI988,FlyJinnah,MUX,PEW,2025-10-10 10:39,Morning,2025-10-10 11:53,Morning,4h 36m,445,Boeing 737,17919,5,On-Time,257
FL208,SereneAir,KHI,UET,2025-10-06 19:32,Evening,2025-10-06 22:56,Night,4h 49m,609,Airbus A321,25231,15,On-Time,244
AI703,AirBlue,SKZ,MUX,2025-10-15 16:12,Afternoon,2025-10-15 20:41,Evening,3h 35m,969,Airbus A321,38717,120,On-Time,290
AI733,FlyJinnah,PEW,KHI,2025-10-06 19:12,Evening,2025-10-06 22:39,Night,3h 9m,1189,ATR 72,21543,5,Delayed,257
AI206,FlyJinnah,KHI,LHE,2025-10-08 06:09,Morning,2025-10-08 09:55,Morning,2h 40m,371,ATR 72,47117,0,Delayed,257
PI510,AirSial,KHI,LHE,2025-10-25 15:12,Afternoon,2025-10-25 17:57,Evening,4h 33m,431,ATR 72,11781,15,Cancelled,280
SE994,AirBlue,LHE,LYP,2025-10-23 18:26,Evening,2025-10-23 21:48,Night,3h 27m,1338,ATR 72,34663,0,Delayed,290
SE657,AirBlue,ISB,SKZ,2025-10-18 03:20,Night,2025-10-18 04:52,Night,2h 7m,415,ATR 72,15619,60,On-Time,290
PI902,PIA,LYP,ISB,2025-10-10 12:01,Afternoon,2025-10-10 16:00,Afternoon,3h 29m,1471,Airbus A321,16077,60,On-Time,240
FL738,SereneAir,KHI,LYP,2025-10-15 15:54,Afternoon,2025-10-15 18:10,Evening,3h 29m,1340,Boeing 737,52886,0,Cancelled,244
PI377,SereneAir,SKZ,MUX,2025-10-02 06:57,Morning,2025-10-02 10:06,Morning,3h 35m,1249,Boeing 737,22999,60,Cancelled,244
PI262,PIA,ISB,LYP,2025-10-08 20:32,Evening,2025-10-09 01:20,Night,2h 10m,811,Boeing 737,49365,5,Delayed,240
AI773,AirBlue,KHI,PEW,2025-10-18 22:53,Night,2025-10-19 01:51,Night,4h 48m,547,Airbus A320,40491,30,Delayed,290
AI948,SereneAir,LYP,PEW,2025-10-28 09:19,Morning,2025-10-28 12:05,Afternoon,3h 46m,1002,Airbus A321,15729,60,Cancelled,244
SE994,SereneAir,MUX,PEW,2025-10-22 13:33,Afternoon,2025-10-22 16:31,Afternoon,4h 36m,535,Airbus A320,38227,30,Delayed,244
AI216,AirBlue,PEW,KHI,2025-10-09 02:16,Night,2025-10-09 04:52,Night,4h 51m,813,ATR 72,50792,60,On-Time,290
FL927,AirSial,UET,ISB,2025-10-22 23:32,Night,2025-10-23 03:20,Night,3h 27m,977,ATR 72,10078,0,On-Time,280
SE976,SereneAir,PEW,LYP,2025-10-22 01:24,Night,2025-10-22 03:52,Night,2h 35m,334,Airbus A321,49738,120,On-Time,244
PI558,FlyJinnah,LYP,ISB,2025-10-18 22:19,Night,2025-10-19 00:36,Night,1h 55m,1404,Airbus A321,20771,30,On-Time,257
AI617,FlyJinnah,PEW,LHE,2025-10-21 18:08,Evening,2025-10-21 20:19,Evening,3h 43m,1258,Airbus A321,21625,5,Delayed,257
PI685,SereneAir,ISB,PEW,2025-10-27 12:47,Afternoon,2025-10-27 15:10,Afternoon,4h 37m,1139,Airbus A321,53868,15,Cancelled,244
FL565,PIA,SKZ,ISB,2025-10-04 00:19,Night,2025-10-04 02:01,Night,4h 50m,800,ATR 72,54369,5,Delayed,240
SE333,AirSial,KHI,UET,2025-10-30 22:42,Night,2025-10-31 01:46,Night,1h 53m,1056,ATR 72,51156,60,Delayed,280
FL999,AirBlue,SKZ,LYP,2025-10-25 05:54,Morning,2025-10-25 07:05,Morning,3h 24m,877,Airbus A321,20464,60,Cancelled,290
FL565,AirBlue,PEW,UET,2025-10-20 21:51,Night,2025-10-20 23:15,Night,4h 32m,1150,ATR 72,31839,30,Cancelled,290
PI383,FlyJinnah,MUX,LHE,2025-10-15 19:22,Evening,2025-10-15 22:11,Night,2h 24m,1443,ATR 72,10581,30,Cancelled,257
FL149,FlyJinnah,LYP,SKZ,2025-10-15 23:39,Night,2025-10-16 01:10,Night,2h 53m,1260,Airbus A320,34574,5,Cancelled,257
AI542,AirBlue,LYP,UET,2025-10-11 14:26,Afternoon,2025-10-11 19:10,Evening,3h 37m,974,ATR 72,50399,5,On-Time,290
AI196,FlyJinnah,SKZ,MUX,2025-10-03 06:12,Morning,2025-10-03 07:29,Morning,3h 6m,1040,Airbus A321,49919,0,On-Time,257
AI550,FlyJinnah,KHI,LHE,2025-10-29 03:07,Night,2025-10-29 06:23,Morning,1h 32m,437,Airbus A321,37423,30,On-Time,257
AI721,AirBlue,MUX,LHE,2025-10-14 11:13,Morning,2025-10-14 15:39,Afternoon,2h 39m,790,Boeing 737,35692,30,On-Time,290
AI608,SereneAir,KHI,ISB,2025-10-27 20:28,Evening,2025-10-27 23:49,Night,1h 2m,866,Airbus A320,43953,60,Delayed,244
AI205,FlyJinnah,UET,MUX,2025-10-13 08:55,Morning,2025-10-13 13:17,Afternoon,4h 10m,1012,Boeing 737,38434,120,Cancelled,257
AI735,FlyJinnah,UET,SKZ,2025-10-27 01:39,Night,2025-10-27 06:18,Morning,1h 37m,487,Boeing 737,37900,0,On-Time,257
PI963,AirBlue,PEW,MUX,2025-10-27 15:57,Afternoon,2025-10-27 20:53,Evening,4h 20m,350,ATR 72,40293,15,Cancelled,290
SE783,SereneAir,PEW,SKZ,2025-10-21 03:49,Night,2025-10-21 07:29,Morning,1h 33m,1431,Boeing 737,28980,60,Cancelled,244
PI162,AirBlue,PEW,KHI,2025-10-27 12:23,Afternoon,2025-10-27 15:36,Afternoon,2h 12m,637,Airbus A321,15634,60,Delayed,290
PI530,SereneAir,SKZ,PEW,2025-10-26 19:12,Evening,2025-10-26 22:09,Night,3h 31m,561,ATR 72,17403,60,Delayed,244
AI546,AirBlue,LYP,PEW,2025-10-02 07:01,Morning,2025-10-02 11:57,Morning,3h 53m,1181,Boeing 737,43979,5,Delayed,290
AI372,FlyJinnah,KHI,LHE,2025-10-01 03:05,Night,2025-10-01 04:15,Night,2h 51m,1406,Boeing 737,11284,15,On-Time,257
PI767,AirSial,LHE,UET,2025-10-27 07:55,Morning,2025-10-27 10:10,Morning,1h 16m,1125,Airbus A320,19107,120,On-Time,280
SE225,SereneAir,SKZ,KHI,2025-10-07 18:28,Evening,2025-10-07 22:55,Night,3h 45m,1274,ATR 72,53663,120,Delayed,244
SE749,SereneAir,SKZ,ISB,2025-10-19 06:47,Morning,2025-10-19 09:39,Morning,4h 48m,397,ATR 72,11921,5,On-Time,244
PI908,FlyJinnah,MUX,SKZ,2025-10-24 08:46,Morning,2025-10-24 09:50,Morning,3h 49m,511,Boeing 737,24269,30,On-Time,257
SE780,AirBlue,MUX,UET,2025-10-08 15:42,Afternoon,2025-10-08 17:44,Evening,1h 53m,1357,Airbus A320,19938,0,Cancelled,290
FL155,SereneAir,UET,ISB,2025-10-19 03:48,Night,2025-10-19 05:45,Morning,3h 56m,944,Airbus A321,10226,120,Cancelled,244
AI403,AirBlue,LYP,SKZ,2025-10-28 12:23,Afternoon,2025-10-28 16:39,Afternoon,1h 50m,1429,Boeing 737,40897,120,Delayed,290
PI405,AirSial,MUX,SKZ,2025-10-10 19:10,Evening,2025-10-10 20:22,Evening,3h 7m,1194,Airbus A320,44484,5,Cancelled,280
SE584,AirSial,UET,LYP,2025-10-19 06:34,Morning,2025-10-19 09:20,Morning,1h 15m,1261,Boeing 737,49864,0,On-Time,280
FL619,SereneAir,KHI,UET,2025-10-20 10:29,Morning,2025-10-20 14:11,Afternoon,3h 52m,686,Airbus A321,10749,120,Delayed,244
SE939,SereneAir,PEW,ISB,2025-10-28 07:09,Morning,2025-10-28 11:45,Morning,4h 5m,406,ATR 72,49856,5,On-Time,244
PI722,FlyJinnah,KHI,SKZ,2025-10-27 15:09,Afternoon,2025-10-27 17:14,Evening,1h 48m,1413,ATR 72,23767,30,On-Time,257
AI335,AirBlue,MUX,KHI,2025-10-27 04:24,Night,2025-10-27 07:53,Morning,4h 37m,521,Airbus A320,45353,0,Delayed,290
PI131,FlyJinnah,LYP,PEW,2025-10-09 02:14,Night,2025-10-09 07:00,Morning,1h 17m,1326,Airbus A320,33000,5,Delayed,257
SE156,AirBlue,SKZ,LHE,2025-10-01 04:50,Night,2025-10-01 05:51,Morning,4h 28m,809,Airbus A320,30800,30,On-Time,290
PI965,SereneAir,SKZ,LHE,2025-10-26 11:33,Morning,2025-10-26 13:18,Afternoon,4h 48m,931,Airbus A320,48661,60,On-Time,244
FL893,PIA,KHI,LYP,2025-10-15 08:21,Morning,2025-10-15 11:39,Morning,2h 13m,1046,Airbus A320,16179,120,Cancelled,240
AI301,AirSial,ISB,UET,2025-10-03 05:43,Morning,2025-10-03 07:55,Morning,2h 21m,803,ATR 72,14974,30,On-Time,280
AI511,AirSial,LHE,PEW,2025-10-29 21:27,Night,2025-10-29 22:55,Night,1h 52m,933,ATR 72,40507,0,Cancelled,280
PI231,PIA,SKZ,LHE,2025-10-22 16:39,Afternoon,2025-10-22 17:50,Evening,2h 31m,1137,Boeing 737,45964,5,Cancelled,240
FL458,SereneAir,PEW,ISB,2025-10-29 00:48,Night,2025-10-29 02:53,Night,3h 59m,617,Boeing 737,45980,0,Cancelled,244
FL207,FlyJinnah,LYP,ISB,2025-10-02 13:50,Afternoon,2025-10-02 18:29,Evening,2h 12m,1341,ATR 72,37517,60,Cancelled,257
PI510,FlyJinnah,PEW,ISB,2025-10-28 01:25,Night,2025-10-28 03:10,Night,2h 44m,764,Airbus A320,18227,0,Cancelled,257
SE992,SereneAir,LYP,PEW,2025-10-15 00:22,Night,2025-10-15 02:50,Night,2h 9m,737,Boeing 737,28731,120,Delayed,244
AI797,AirBlue,SKZ,PEW,2025-10-11 04:03,Night,2025-10-11 05:07,Morning,2h 18m,795,Airbus A320,21431,15,Delayed,290
FL597,AirBlue,MUX,UET,2025-10-28 01:33,Night,2025-10-28 02:46,Night,2h 23m,1340,ATR 72,10243,5,Delayed,290
SE449,AirBlue,PEW,KHI,2025-10-29 09:39,Morning,2025-10-29 12:58,Afternoon,2h 50m,1086,Airbus A321,33286,0,Delayed,290
AI156,FlyJinnah,MUX,SKZ,2025-10-13 04:54,Night,2025-10-13 09:11,Morning,2h 46m,1320,Airbus A321,14454,5,Delayed,257
AI810,FlyJinnah,KHI,LYP,2025-10-06 23:43,Night,2025-10-07 01:03,Night,1h 53m,523,ATR 72,31145,30,On-Time,257
AI536,AirBlue,LYP,LHE,2025-10-24 09:32,Morning,2025-10-24 14:17,Afternoon,1h 20m,536,Airbus A321,54646,120,Cancelled,290
PI141,FlyJinnah,SKZ,UET,2025-10-29 11:07,Morning,2025-10-29 15:00,Afternoon,2h 29m,1247,Airbus A321,31645,15,Cancelled,257
FL230,AirBlue,LHE,ISB,2025-10-18 23:23,Night,2025-10-19 01:54,Night,3h 21m,1183,Boeing 737,11730,15,Delayed,290
AI563,AirBlue,LHE,SKZ,2025-10-16 17:30,Evening,2025-10-16 21:36,Night,2h 53m,1465,Airbus A320,46337,15,Delayed,290
AI405,AirSial,UET,KHI,2025-10-04 06:54,Morning,2025-10-04 08:53,Morning,2h 35m,861,Airbus A320,12852,15,Cancelled,280
PI522,AirBlue,LYP,SKZ,2025-10-13 04:10,Night,2025-10-13 06:01,Morning,1h 20m,654,ATR 72,20443,0,On-Time,290
AI173,PIA,LHE,KHI,2025-10-18 14:50,Afternoon,2025-10-18 16:24,Afternoon,4h 15m,311,Boeing 737,47072,60,On-Time,240
AI943,PIA,SKZ,UET,2025-10-02 18:10,Evening,2025-10-02 19:31,Evening,2h 45m,528,Boeing 737,52774,60,Delayed,240
AI306,FlyJinnah,UET,LHE,2025-10-15 15:06,Afternoon,2025-10-15 16:43,Afternoon,3h 57m,712,Airbus A320,22753,60,Delayed,257
FL135,FlyJinnah,MUX,SKZ,2025-10-14 09:57,Morning,2025-10-14 12:14,Afternoon,1h 21m,322,ATR 72,47322,120,On-Time,257
PI963,PIA,UET,LHE,2025-10-11 06:07,Morning,2025-10-11 07:46,Morning,4h 42m,1329,ATR 72,29076,15,Cancelled,240
SE835,SereneAir,KHI,PEW,2025-10-02 01:14,Night,2025-10-02 03:26,Night,3h 57m,1470,Airbus A320,14776,120,On-Time,244
AI241,PIA,UET,ISB,2025-10-10 00:00,Night,2025-10-10 03:43,Night,1h 7m,838,ATR 72,31737,5,Cancelled,240
AI556,AirSial,KHI,MUX,2025-10-25 08:19,Morning,2025-10-25 10:10,Morning,2h 24m,507,Airbus A320,48246,60,Delayed,280
FL827,SereneAir,MUX,LYP,2025-10-05 04:21,Night,2025-10-05 08:52,Morning,3h 54m,1324,Airbus A321,46152,5,Cancelled,244
PI609,SereneAir,MUX,UET,2025-10-18 16:29,Afternoon,2025-10-18 18:38,Evening,2h 5m,1348,ATR 72,43473,60,On-Time,244
AI445,FlyJinnah,PEW,KHI,2025-10-24 10:47,Morning,2025-10-24 13:23,Afternoon,4h 5m,1221,Airbus A320,42446,0,On-Time,257
AI390,AirBlue,SKZ,LYP,2025-10-30 03:33,Night,2025-10-30 07:31,Morning,1h 30m,948,Boeing 737,51743,15,On-Time,290
AI500,FlyJinnah,UET,LYP,2025-10-20 09:45,Morning,2025-10-20 13:14,Afternoon,4h 24m,600,ATR 72,18260,0,On-Time,257
SE995,AirBlue,PEW,UET,2025-10-09 07:47,Morning,2025-10-09 10:42,Morning,4h 20m,998,Airbus A321,13118,5,Cancelled,290
PI570,SereneAir,PEW,MUX,2025-10-25 07:32,Morning,2025-10-25 11:30,Morning,1h 23m,1438,Airbus A320,27030,5,Delayed,244
AI876,AirSial,ISB,LYP,2025-10-30 00:51,Night,2025-10-30 04:10,Night,4h 27m,1341,ATR 72,17531,15,Delayed,280
FL921,AirBlue,UET,MUX,2025-10-04 12:21,Afternoon,2025-10-04 14:50,Afternoon,2h 26m,497,Airbus A321,48494,60,On-Time,290
SE343,FlyJinnah,PEW,KHI,2025-10-19 08:43,Morning,2025-10-19 12:34,Afternoon,1h 36m,580,Airbus A320,41142,60,On-Time,257
FL489,AirSial,UET,KHI,2025-10-17 04:19,Night,2025-10-17 07:18,Morning,3h 40m,828,Airbus A321,43530,5,On-Time,280
SE600,AirSial,KHI,UET,2025-10-13 02:50,Night,2025-10-13 07:33,Morning,2h 38m,481,Airbus A321,26418,30,On-Time,280
SE605,AirSial,KHI,UET,2025-10-07 22:09,Night,2025-10-07 23:48,Night,2h 55m,1445,ATR 72,14051,0,Cancelled,280
AI582,AirSial,PEW,LHE,2025-10-10 23:43,Night,2025-10-11 00:48,Night,1h 20m,362,Airbus A320,35027,5,Cancelled,280
FL914,SereneAir,LHE,LYP,2025-10-22 16:58,Afternoon,2025-10-22 21:42,Night,4h 39m,317,Airbus A320,17974,120,Delayed,244
PI475,AirBlue,PEW,ISB,2025-10-29 18:04,Evening,2025-10-29 19:17,Evening,4h 4m,829,ATR 72,14386,0,Delayed,290
FL221,PIA,MUX,LYP,2025-10-29 14:25,Afternoon,2025-10-29 15:59,Afternoon,4h 17m,1470,Boeing 737,19451,5,On-Time,240
AI808,SereneAir,ISB,LYP,2025-10-24 22:32,Night,2025-10-25 00:48,Night,3h 39m,653,Airbus A321,22430,120,On-Time,244
SE952,AirBlue,SKZ,LHE,2025-10-04 21:06,Night,2025-10-05 00:30,Night,4h 16m,1206,Boeing 737,45659,60,On-Time,290
AI140,AirSial,ISB,LHE,2025-10-28 21:44,Night,2025-10-29 01:46,Night,1h 52m,1116,ATR 72,37081,120,Cancelled,280
FL291,AirBlue,MUX,PEW,2025-10-15 23:38,Night,2025-10-16 01:20,Night,1h 30m,410,ATR 72,53314,15,On-Time,290
AI923,AirSial,SKZ,ISB,2025-10-05 06:22,Morning,2025-10-05 10:22,Morning,3h 52m,1193,Boeing 737,32343,120,On-Time,280
SE120,PIA,MUX,KHI,2025-10-26 22:25,Night,2025-10-27 00:49,Night,4h 23m,372,Airbus A320,15952,15,Cancelled,240
FL927,PIA,LHE,PEW,2025-10-18 00:22,Night,2025-10-18 04:44,Night,2h 12m,1267,Airbus A320,25915,60,On-Time,240
PI651,SereneAir,PEW,SKZ,2025-10-04 23:31,Night,2025-10-05 03:42,Night,4h 41m,1330,ATR 72,27647,0,On-Time,244
AI875,FlyJinnah,KHI,LHE,2025-10-22 09:20,Morning,2025-10-22 14:07,Afternoon,2h 50m,472,Boeing 737,28894,5,Delayed,257
FL600,PIA,SKZ,LHE,2025-10-25 11:22,Morning,2025-10-25 13:17,Afternoon,4h 35m,367,ATR 72,19900,5,Delayed,240
FL580,AirSial,PEW,LHE,2025-10-05 18:20,Evening,2025-10-05 20:53,Evening,3h 30m,1054,Airbus A321,48872,30,On-Time,280
SE845,PIA,SKZ,ISB,2025-10-17 16:02,Afternoon,2025-10-17 17:41,Evening,2h 8m,1460,Airbus A320,20783,15,On-Time,240
PI524,FlyJinnah,LHE,ISB,2025-10-19 02:02,Night,2025-10-19 03:40,Night,3h 58m,1121,Airbus A321,43844,5,On-Time,257
AI871,AirSial,ISB,MUX,2025-10-20 11:38,Morning,2025-10-20 12:41,Afternoon,2h 31m,1088,Boeing 737,12126,0,Cancelled,280
PI927,FlyJinnah,LYP,KHI,2025-10-23 05:24,Morning,2025-10-23 08:17,Morning,4h 44m,361,Boeing 737,13383,120,On-Time,257
SE958,SereneAir,ISB,SKZ,2025-10-16 01:57,Night,2025-10-16 04:24,Night,4h 42m,1085,Airbus A321,42994,15,On-Time,244
FL860,SereneAir,KHI,LYP,2025-10-03 14:14,Afternoon,2025-10-03 16:56,Afternoon,3h 5m,350,Airbus A321,31321,15,On-Time,244
AI322,SereneAir,PEW,ISB,2025-10-10 12:35,Afternoon,2025-10-10 14:42,Afternoon,3h 58m,637,Airbus A321,49541,5,Cancelled,244
AI905,PIA,SKZ,ISB,2025-10-25 11:45,Morning,2025-10-25 16:08,Afternoon,3h 1m,947,Airbus A320,39365,5,Cancelled,240
FL287,AirSial,ISB,MUX,2025-10-07 14:08,Afternoon,2025-10-07 18:59,Evening,1h 20m,1500,ATR 72,53443,0,On-Time,280
AI521,FlyJinnah,PEW,SKZ,2025-10-12 20:35,Evening,2025-10-13 01:21,Night,2h 3m,381,ATR 72,52751,5,Delayed,257
FL320,FlyJinnah,ISB,PEW,2025-10-07 03:45,Night,2025-10-07 05:13,Morning,3h 42m,1231,ATR 72,22080,5,Delayed,257
FL308,SereneAir,SKZ,LYP,2025-10-26 03:19,Night,2025-10-26 05:12,Morning,1h 18m,916,ATR 72,39184,0,Delayed,244
SE342,SereneAir,MUX,LYP,2025-10-24 11:40,Morning,2025-10-24 15:03,Afternoon,1h 38m,1384,Boeing 737,11284,15,Cancelled,244
FL842,FlyJinnah,PEW,LHE,2025-10-11 19:18,Evening,2025-10-11 22:13,Night,4h 41m,316,Boeing 737,53539,0,On-Time,257
PI499,PIA,LHE,UET,2025-10-29 07:33,Morning,2025-10-29 11:33,Morning,1h 55m,1070,Airbus A320,11943,30,On-Time,240
AI333,FlyJinnah,KHI,LHE,2025-10-03 16:02,Afternoon,2025-10-03 17:09,Evening,3h 50m,498,Airbus A321,20524,60,Delayed,257
PI531,PIA,UET,ISB,2025-10-07 13:24,Afternoon,2025-10-07 14:58,Afternoon,4h 31m,1447,Airbus A321,15853,120,Cancelled,240
SE729,AirSial,LYP,ISB,2025-10-01 17:06,Evening,2025-10-01 18:43,Evening,3h 21m,926,Boeing 737,46092,5,Cancelled,280
SE347,FlyJinnah,MUX,LYP,2025-10-23 17:16,Evening,2025-10-23 19:36,Evening,1h 16m,976,Boeing 737,35306,60,Delayed,257
AI778,AirBlue,LYP,UET,2025-10-22 22:17,Night,2025-10-22 23:19,Night,4h 39m,1461,ATR 72,27443,0,On-Time,290
PI456,PIA,LYP,PEW,2025-10-22 22:37,Night,2025-10-23 03:16,Night,4h 3m,1036,ATR 72,50952,0,Delayed,240
PI479,FlyJinnah,SKZ,KHI,2025-10-29 08:35,Morning,2025-10-29 09:38,Morning,4h 15m,383,Airbus A321,24222,0,Delayed,257
AI931,FlyJinnah,PEW,LHE,2025-10-03 04:16,Night,2025-10-03 06:02,Morning,3h 49m,1048,Airbus A321,14014,60,Delayed,257
AI955,SereneAir,LYP,KHI,2025-10-29 06:12,Morning,2025-10-29 09:43,Morning,1h 12m,548,Airbus A321,32583,15,Delayed,244
AI131,FlyJinnah,PEW,ISB,2025-10-14 22:20,Night,2025-10-15 03:06,Night,2h 25m,1152,ATR 72,20966,30,Delayed,257
PI543,FlyJinnah,LHE,KHI,2025-10-18 00:45,Night,2025-10-18 04:13,Night,4h 53m,377,Airbus A320,26197,30,Delayed,257
AI635,AirBlue,MUX,ISB,2025-10-21 10:35,Morning,2025-10-21 14:07,Afternoon,2h 51m,609,ATR 72,42663,0,Cancelled,290
AI107,AirSial,SKZ,ISB,2025-10-13 02:13,Night,2025-10-13 05:21,Morning,2h 5m,1142,ATR 72,39657,15,On-Time,280
PI697,AirBlue,LYP,LHE,2025-10-14 13:34,Afternoon,2025-10-14 16:05,Afternoon,1h 24m,489,ATR 72,14481,120,Cancelled,290
PI206,AirBlue,KHI,UET,2025-10-30 14:07,Afternoon,2025-10-30 18:10,Evening,3h 53m,536,Airbus A320,37169,5,Delayed,290
AI393,AirSial,LYP,LHE,2025-10-28 17:14,Evening,2025-10-28 19:38,Evening,3h 59m,549,Airbus A321,32328,5,Delayed,280
PI360,AirSial,UET,LYP,2025-10-26 23:03,Night,2025-10-27 04:01,Night,3h 35m,556,Boeing 737,34631,120,Delayed,280
FL568,AirBlue,LYP,LHE,2025-10-01 02:34,Night,2025-10-01 04:03,Night,1h 14m,1143,ATR 72,13537,15,Cancelled,290
FL113,AirBlue,MUX,LHE,2025-10-09 12:15,Afternoon,2025-10-09 16:29,Afternoon,3h 0m,1439,ATR 72,14899,120,On-Time,290
FL889,AirSial,KHI,PEW,2025-10-26 00:43,Night,2025-10-26 04:15,Night,1h 25m,1311,ATR 72,50124,30,On-Time,280
FL994,PIA,PEW,KHI,2025-10-01 10:12,Morning,2025-10-01 11:35,Morning,1h 40m,1062,ATR 72,32916,0,Delayed,240
SE295,AirSial,KHI,PEW,2025-10-28 04:05,Night,2025-10-28 07:40,Morning,3h 35m,1381,Boeing 737,44670,120,On-Time,280
PI437,SereneAir,KHI,UET,2025-10-29 20:20,Evening,2025-10-29 22:12,Night,1h 51m,1169,Airbus A321,51815,0,Delayed,244
AI242,AirSial,ISB,LHE,2025-10-26 20:37,Evening,2025-10-26 21:39,Night,1h 13m,724,Airbus A320,48013,60,Delayed,280
PI391,FlyJinnah,ISB,LYP,2025-10-10 17:42,Evening,2025-10-10 20:53,Evening,4h 27m,1421,Airbus A320,34609,120,Cancelled,257
